sentiment,negative_reason,text
positive,,"b""My one ask of whoever forms gov't - preferably LPC - get the guy who moderated French debate to run in first available by-election, for any party. Help him win, and make him Speaker. #elxn43"""
positive,,"b""Neither a borrower or a lender be, wrote Shakespeare. \n\nBut the Bard of Avon didn't have Canada's enviable debt-to-GDP ratio.\n\nLISTEN HERE (we promise it is not the audiobook of Hamlet) https://t.co/rFmFnpPRvV\n\n#elxn43"""
positive,,"b""Nerd with #impact! I have created technologies to destroy chemical weapons to keep Canada &amp; the world #safe. I have worked on Mad Cow Disease to protect AB's agriculture industry. We need more #science in government. #VoteJosephine #VoteTsang #elxn43 #yycNoseHill #CalgaryNoseHIll https://t.co/vU9WjkQfmA"""
positive,,"b""Newfoundland and Labrador did its part for Canada and now it's time we do our part for them. We need to take action and #SaveNewfoundlandNow\n\n#elxn43 #cdnpoli \nhttps://t.co/0RsXMc4WfZ https://t.co/NpoYq6HTTv"""
positive,,"b""No #doctors in #NovaScotia; There's 25 doctors for Endometriosis in Maine #Yarmouth ferry #Healthcare... #NSPoli #Doctors #NovaScotia #Elxn43 https://t.co/6GYXbJx6PL"""
positive,,"b'""No government in Canada\'s history has done more to invest and partner with Indigenous Peoples than our government,"" Trudeau said. #elxn43 #cdnpoli \n\nhttps://t.co/JZPjjRayuA'"
negative,Others,"b""No Jason, we LIKE Alberta; we just don't like you.\nAnd there is a difference between you and the province\n#cdnpoli #elxn43 https://t.co/A1m8WIQaMI"""
negative,Others,"b""Notice a pattern here folks...\n\nTwo little black girls getting blackface explained to them by Trudeau\nTrudeau's tweet pic changing to include a person of color\n#Liberals reaching out to colored politicians to publicly endorse #Trudeau.... \n\n#cndpoli \n#elxn43 https://t.co/8VknaECIS4"""
negative,Others,"b""Nova Scotia was swept by the Liberals in 2015, but the chance of a repeat doesn't look good for Trudeau. #elxn43 #cdnpoli \n\nhttps://t.co/nsl9F0nKJI"""
negative,Tell lies,"b""Oh my f*ck if u have the stomach to watch #LyingAndy at today's press conference. The one take away besides he's a lying sack of sh!t is that Justin has 2b transparent but not him. Plus he did hire POS @kinsellawarren for his dirty work #elxn43 #cdnpoli\nhttps://t.co/FjZochmhuk"""
negative,Climate Problem,"b""Oh My We're all gonna die!!!! #elxn43 #cdnpoli #nlpoli \n\nLook the great lakes are flooding houses!!!\n\nhttps://t.co/MdYO4GVwZD"""
negative,Others,"b""Oh, Rosemary, Rosemary, you're just far too sane and logical for this cockamamie election. #cdnpoli #elxn43 #canadavotes2019 #CanadaElection2019 https://t.co/1V1XYz2YO5"""
negative,Scandal,"b""Ok people, you've GOT to check out this thread! @terraloire this compilation is the bomb dot com! #UpRiSingh #elxn43 #cdnpoli https://t.co/zeyAshiXg3"""
negative,Tell lies,"b""Omg...\n\nIf this wasn't tweeted you wouldn't believe it.\n\nYou seriously can't make this shit up.\n\n#cndpoli #elxn43  #elxn2019 https://t.co/HHjLdFlWFB"""
positive,,"b""On Friday, The Journal's editorial board unanimously endorsed @WalkerNDP for Kingston and the Islands in #elxn43 Read the editorial: https://t.co/cKBnp7DUSw"""
positive,,"b""On Monday, millions of Canadians will look towards the future in #elxn43. It's crucial that we remember who will be inheriting the future we build - our youth. @KajHasselriis wrote and illustrated an incredible book to teach kids about our leaders and democracy. https://t.co/A5Tvt4JezR"""
positive,,"b""On Monday, we'll see which party leader rolled the highest for Persuasion. #elxn43 #itsourvote #CDNPoli"""
negative,Scandal,"b""One thing you can say about @ElizabethMay that you can't say about @AndrewScheer is that she excised Kinsella from her team early on in the campaign #cdnpoli #elxn43"""
negative,Scandal,"b""Only Andrew Scheer and Warren Kinsella can turn Maxime Bernier into the protagonist of the last 3 days of #elxn43.\n\nIt's remarkable.. \n\n#cdnpoli #yql https://t.co/4rIn92c12G"""
negative,Others,"b""Only Andrew Scheer would be so dumb as to pay Kinsella for a service Max was going to provide for free. Maybe if he'd finished any schooling beyond high school he'd know that #elxn43"""
positive,,"b""Only three days left to take advantage of our #elxn43 subscription deal. Support @NatObserver today, and help us produce in-depth Canadian journalism you simply can't find anywhere else. https://t.co/LQRNKcm84Q"""
negative,Tell lies,"b""Or, even worse, people share and spread it deliberately knowing that it's false but still drives an undermining message to their supporters and political allies. #elxn43"""
negative,Scandal,"b""OUCH... A Trudeau staffer trying to smear their opponents? Say it ain't so!!! #cdnpoli #elxn43 #TrudeauMustGo #LavScam https://t.co/zODmdNyRPV"""
positive,,"b""Our friends from @checkupcbc are here for a twin town hall in Leduc tomorrow from @maclabcentre.\n\nThey'll be debating TMX and climate change topics from #yeg and #yvr. \n\nGet your free tickets here: https://t.co/eL9KSpJsMD\n\n#elxn43 #cdnpoli #yeg https://t.co/GUnMQ4pJrx"""
positive,,"b""Our Volunteer HQ is buzzing today with only 2\xef\xb8\x8f\xe2\x83\xa3 days to #elxn43 ! Our volunteers are energized and ready to #GoKnockDoors to make sure Don Valley West #ChooseForward and continue the progress we've made together! https://t.co/mO3q809X6d"""
negative,Scandal,"b""Party who's leader won't answer if he's done more than the three known #BlackfaceTrudeau incidents. \n#cdnpoli #elxn43 https://t.co/E854ngmibb"""
negative,Tell lies,"b""Pay Up! Lyin' Andy! \n\n\xf0\x9f\x92\xb0$20,000 Fine for Ethics Violations under @CPC_HQ \n\n\xf0\x9f\x93\x8fYOU know the RULES @AndrewScheer!!! \n\n#elxn43 #cdnpoli https://t.co/zGzzCz4epy"""
negative,Privilege,"b""People who support the @CPC_HQ need to grow up. Seriously. Democracy isn't about Santa giving you all the presents you asked for, but rather finding a compromise that is beneficial to all, not just a few.\n#elxn43 #cdnpoli\n#DefundCBC #BoycottPostmedia"""
negative,Economy,"b""Pipelines, Huawei, Saudis, and the CPC \n#FactsMatter #cdnpoli #elxn43 #NoCPC #ABC \nFIPA agreement with China: What's really in it for Canada? https://t.co/G29YxEynnb"""
positive,,"b""Please do vote. I don't care for who, just get out there and do it. #elxn43 https://t.co/4BvrhvQuhd"""
negative,Scandal,"b""PPC Leader Maxime Bernier called the Conservative Party 'morally and intellectually corrupt' as he responded to a report that the Tories hired a consulting firm to discredit him. Read more here: https://t.co/BVAua5qlL4 #cdnpoli #elxn43 https://t.co/GWHAIdLhp9"""
positive,,"b""PPC leader Maxime Bernier responds to 'seek and destroy' campaign #elxn43 #cdnpoli https://t.co/TAiG5oI7AY"""
positive,,"b""Prepping for Monday's result.... #elxn43 #cdnpoli https://t.co/6lExRPOqs8"""
negative,Others,"b""Preventing the NDP from helping renters in this province isn't cool. The Greens say they are like the NDP. \nIf you rent you know the truth. #elxn43 #cdnpoli #bcpoli #vanpoli  \n\nhttps://t.co/Atq6PN5tmN"""
positive,,"b""PS. for anyone who is unaware on any of the issues or can't decide between two parties, https://t.co/2ue8HeCvlW is a wonderful tool and has fueled so many interesting conversations today! #elxn43"""
positive,,"b""Ready to #GetOutTheVote? TCMV is here to ensure you are! We're still visiting mosques &amp; making calls to mobilize Muslims nationwide! \n\nVisit https://t.co/v0Qt8bSr1a for more info! \n\n\xf0\x9f\x93\x8dIslamic Society of Toronto \n\n#TCMV #MuslimVoteCAN #GOTV #GetOutTheVote #elxn43 #cdnpoli #canpoli https://t.co/5A1Vfi70tN"""
positive,,"b""Referring to the environment, Scheer said his party's plan will meet the concerns of Albertans who are worried about climate change, thousands of whom rallied with activist Greta Thunberg in Edmonton. #elxn43 #cdnpoli\n\nhttps://t.co/9l1nq9l4k0"""
positive,,"b'""Representatives for Mr. Trudeau didn\xe2\x80\x99t respond to a request for an interview."" https://t.co/3Gz69znGpU #cdnpoli #elxn43'"
negative,Scandal,"b""Scene from  Conservative War Room after @AndrewScheer flees from reporter's questions. #elxn43 #KinsellaGate #cdnpoli https://t.co/NtK4ISXUGQ"""
negative,Scandal,"b""Scheer - Warren I'm willing to pay you to undermine Maxime Bernier &amp; PPC campaign \n\nWarren - so you'll pay me to screw him &amp; f@#k you?!?! Sign the cheque already \n\n#elxn43 #cdnpoli #PPC"""
negative,Others,"b""Scheer isn't PM material.\nHe might be CPC material, but not PM.\nThis is a shitshow he created.\n#elxn43 https://t.co/m3ptqO2WdH"""
negative,Tell lies,"b""Scheer Lies #460 \xf0\x9f\xa4\xa8\nScheer is saying that @JustinTrudeau is talking about a coalition with Singh.\n\xf0\x9f\xa4\xa5This is not true \xf0\x9f\xa4\xa5\nbut it is very likely if a minority is elected so 7/10.\xf0\x9f\xa4\x93\nScheer hope's to scare people away from both the Liberals and NDP with this lie.\n#elxn43 \n#CPC_HQ https://t.co/1fVE1oz1bv"""
negative,Tell lies,"b""Scheer Lies #461\nScheer isn't responding to questions about the Conservatives hiring Warren Kinsella to smear their opponents because he knows  that evidence exists to prove that this is true.\xf0\x9f\xa4\xa5\nInstead of responding, he is avoiding.\xf0\x9f\x98\xa0\nThis is still a lie.\xf0\x9f\xa4\x93\n#elxn43 https://t.co/pgTOCKopnA"""
negative,Others,"b""Scheer says 'modern convention' means Trudeau must quit if he doesn't win the most seats, but one cannot expect such behaviour from unethical \xe2\x81\xa6@JustinTrudeau\xe2\x81\xa9 #cdnpoli #elxn43 \xe2\x81\xa6@CPC_HQ\xe2\x81\xa9 \xe2\x81\xa6@liberal_party\xe2\x81\xa9 as Justin is all about power https://t.co/sa7mom3YEQ"""
negative,Scandal,"b'""Scheer won\'t say if Conservatives hired consultant to \'destroy\' People\'s party"" #cdnpoli #elxn43 #cpc https://t.co/u6joH51uRl'"
negative,Scandal,"b""Scheer won't say if Conservatives hired consultant to 'destroy' People's party #elxn43 #cdnpoli https://t.co/JAXo1nOmXZ https://t.co/iT29YwG87A"""
negative,Scandal,"b""Scheer won't say if Conservatives hired consultant to 'destroy' People's party https://t.co/N2htDBA4lS #elxn43 #cdnpoli #cdnmedia"""
positive,,"b""See the policies and promises of the six main parties on this election's pressing issues \xe2\xa4\xb5\xef\xb8\x8f\n\n#elxn43 #CanadaVotes #makeyourXcount \n\nvia @CBCNews https://t.co/LAy5BH0nih"""
negative,Scandal,"b'""Seek and destroy the PPC"" \n#AndrewScheer and the @CPC_HQ hire a firm to smeer and destroy @MaximeBernier.\nShocking?  Not at all. \nWhen you have zero leadership skills, you\'ll do just about anything to stay in power.\n#shpk #fortsask #elxn43 #KinsellaGate # https://t.co/VkvJeIJNRY'"
negative,Women Reproductive right and Racism,"b""Seems Cons hired Warren Kinsella to sabotage Maxime Bernier's party. They've made #Trudeau out to be The Bogeyman for yrs.  Meanwhile #Scheer lies about his personal resume, falsifies opposition platform positions &amp; tries to hide his racist, anti-woman beliefs.  #cdnpoli #elxn43 https://t.co/ObVUxUeb0Z"""
negative,Tell lies,"b""Shifty and Slippery @AndrewScheer doesn't have it in him to be honest. He's too comfortable spewing lies. #ScheerHypocrisy #elxn43 https://t.co/kwoK1PldW6"""
negative,Scandal,"b""Shocking Conservative and Liberal \xc2\xa0Corruption Revealed! Former\xc2\xa0Liberal\xc2\xa0Strategist Kinsella Wages Covert Campaign To Destroy People's Party of Canada. - https://t.co/OvPZwTHWuZ  #Meaney4mp #oakville #halton #elxn43 #cdnpoli #kinsellagate #libconcorruption https://t.co/w2Qo31sZX5"""
positive,,"b""Should Good Food be accessible to all who live in Canada? Here's how our local federal candidates responded to this and other OFPC survey questions\xc2\xa0https://t.co/N8VEugaOaD #OttCity #cdnpoli #elxn43 https://t.co/vdTTVCl22o"""
positive,,"b'""Sixty-one per cent of Canadian respondents agreed traditional political parties don\xe2\x80\x99t care about people like them.""  https://t.co/znU15UOvy8\n\nSo are you voting for @theJagmeetSingh?  \'Cause he\'ll tax the rich and use that money to help the rest of us rise. #UpRiSingh #elxn43'"
negative,Scandal,"b""Slime. Pure slime. #LyingAndy sure has a lot of questions he won't answer. Tells on lying: drinks water, turns and runs. Oh yeah, opens his mouth.\n\nHow about an RCMP inquiry in those @CPC_HQ #Kinsella dirty operations, Andy?\n\n#ScheerDisaster\n#ScheerLies\n#cdnpoli\n#elxn43 https://t.co/bErebH3LNQ"""
negative,Scandal,"b""So post #KinsellaGate &amp; post @CPC_HQ  leadership race. We once again have confirmation that @AndrewScheer  can't win in a fair fight. Andrew Scheer puts the CON in conservative #libconsmears #elxn43 #cdnelxn2019 #CPC #PPC2019  #cdnpoli"""
negative,Others,"b""So the election is almost over. Why hasn't Jagmeet Singh visited Newfoundland and Labrador once this campaign? #elxn43 #nlpoli @CBCNews @CTVNews @GlobalNational @VOCMNEWS @StJohnsTelegram @VOCMOpenline @NTVNewsNL @globeandmail"""
negative,Scandal,"b""So, the brainwashing hasn't worked for all students, I see. Bravo. #cdnpoli #elxn43 @CPC_HQ\nhttps://t.co/nvIzknL6ls"""
positive,,"b""Some fantastic and unique insight from @artipale @farahnasser  @globalnews.ca  on a key voting block in Monday's election Generation Z: What Canada\xe2\x80\x99s youngest voters are worried about - National | https://t.co/hoRhvBWdWX https://t.co/aquauJdial #elxn43"""
positive,,"b""Some top notch journalists who've earned &amp; deserve a nice long holiday when #elxn43 is over &amp; @glen_mcgregor is certainly among them. Effective journalism is as vital to an election as the candidates themselves. #cdnpoli https://t.co/Q5S23BWdhT"""
positive,,"b""Spoke to my grandpa about voting and why he should vote for @theJagmeetSingh. He's never voted before but he's going to vote this year! \xe2\x9d\xa4\xf0\x9f\x99\x8c #elxn43"""
positive,,"b""Students have assignments due on Monday - So I'll be attending to these emails this weekend. \n\nHowever, feel free to ask any questions on #elxn43 and #cdnpoli\n\nYou can also check out  @IshatReza and I discussing policy + electoral reform on our Podcast.\n\nhttps://t.co/9Gx7o8rA47 https://t.co/3zCSaJkPfM"""
positive,,"b""Sunday Oct 20 we'll be LIVE on https://t.co/lCwQ86j2yw discussing the local campaigns, + looking ahead to the results of #elxn43. Tune in 3:00pm for a focus on #Sudbury or listen later on @Spotify\n\n@LefebvrePaul #LPC \n@NDPBeth4Sudbury #NDP\n@BillCrumplin #GPC \nPierre St.Amant #CPC"""
positive,,"b""Sunday Oct 20 we'll be LIVE on https://t.co/NMLa6JHKup discussing the local campaigns, and looking ahead to the results of #elxn43. Tune in 2:30pm for a focus on #NickelBelt or listen later on @spotify\n\n@MarcSerreMP #LPC\n@StefPaquette #NDP\n@CaseyLalonde #GPC\nAino Laamanen #CPC https://t.co/hcdw6dEqRQ"""
positive,,"b""Thank you to @CPC_HQ Leader @AndrewScheer for holding an event at @picaroons and supporting Canada's #craftbeer industry. #elxn43 https://t.co/zdA7MFmSqV"""
positive,,"b""That so many people Others that this is a fake account is exactly why we need more exposure to people of different cultures, and more civility and humanity in politics. #elxn43 https://t.co/lIhpu6ookD"""
negative,Tell lies,"b""The #cdnmedia and every concerned Canadian should play this clip on an endless loop until election day. Canadians have the right to know, as if we already don't, what a lying POS @AndrewScheer is. #LyingAndy #ScheerLies #elxn43 #cdnpoli https://t.co/Oe91PmNvUa"""
positive,,"b""The #CPC got its money's worth - *didn't* they, Andy?! \n\n#KinsellaGate #elxn43 https://t.co/KiKOl0eV26"""
positive,,"b""The #UpRiSingh in #elxn43 \n\nit's about bloody time for the honest &amp; ethical #cdnpoli that Canadians deserve\n\nit's TIME for @NDP &amp; The Jag aka @theJagmeetSingh \n\n#JustSayNO to the #LiarsAndCheats of the libs &amp; the Cons https://t.co/wyEtAt0Cul"""
negative,Others,"b""The @globeandmail's what?? #cdnpoli #elxn43 https://t.co/pNEKhsOSVQ"""
negative,Scandal,"b""The apparent Kinsella-CPC collusion isn't the big scoop WK was teasing, but it is pretty significant. #elxn43 #cdnpoli  https://t.co/hcPrDcMFz3"""
positive,,"b'""The chief of staff to the prime minister of Canada, it is alleged, is so confident of predictably co-operative media support that by making a few calls, the collaborative op-ed wagons would be circled."" #cdnpoli #elxn43 \nhttps://t.co/rkL7bvoKkk'"
negative,Scandal,"b""The election isn't even over and @CPC_HQ staff are already being caught commiting fraud. \n\nFormer Hamilton Centre Conservative riding president arrested for fraud: police\n\nCue whataboutisms by  group-think Twitterverse in 5,4,3,2...\n\nhttps://t.co/hmaMpX4KiE\n\n#cdnpoli #elxn43"""
negative,Women Reproductive right and Racism,"b""The fight to protect hard earned rights doesn\xe2\x80\x99t stop at ballot box. #canfem #elxn43 \n\nGroup with mission to \xe2\x80\x9celect candidates committed to restricting access to abortions in Canada is trying to recruit pro-life people to staff newly elected MPs' offices.\xe2\x80\x9d https://t.co/pZoJ6ZfhJG"""
positive,,"b""The Justin Trudeau rally in Milton is so packed NO ONE ELSE CAN EVEN GET IN SO THEY'RE HOARDING US NEAR THE BANQUET DOORS \xf0\x9f\x98\xb3\xf0\x9f\x98\x8d #ChooseForward #elxn43 https://t.co/7fF6bNmlPa"""
positive,,"b""The look on @AndrewScheer at 0:25 is pure gold. You know you got caught with your hand in the cookie jar bud \xf0\x9f\xa4\xa3. The only true transparent party is the PPC. As far as I'm concerned nobody else is legitimately qualified.\n#PPCmajority #KinsellaGate #elxn43 #PPC #CPC https://t.co/zLJDJsIsI1"""
positive,,"b""The NDP and Green candidates in Orleans are co-hosting a results watch party at Taproom 260 on Monday. I've invited many of you who live in Orleans, but feel free to show up and to invite friends. #elxn43 https://t.co/M5QKOcoQuK"""
negative,Economy,"b""The NDP is basically broke. They'll have little leverage in minority parliament because, as a practical matter, they won't be able to threaten an election.\n\nThe real question is: What in the Liberal platform would the NDP vote against? Answer: Not much.\n\n#cdnpoli #elxn43 https://t.co/IL6doVpg9a"""
negative,Others,"b""The NDP will never win the Majority and they really ought to accept that. What makes them think that they are the only one's that can fix everyone of Canada's Problems? They are full of themselves.\n#CDNPoli #elxn43"""
negative,Others,"b""The possibility that the Liberals may not agree to the NDP's terms, or that the Greens will support the Conservatives, though, scares me. (2/2) \n\n#elxn43 #cdnpoli #cdnelxn2019"""
positive,,"b""The press is the same way. You won't like all the stories or opinions on an objective news source, but you realize the stories are, in fact, factual.\n#elxn43 #cdnpoli \n#DefundCBC #BoycottPostmedia"""
negative,Scandal,"b""The recognizable bias in Canada\xe2\x80\x99s largest media company, PostMedia, comes from the top. \xe2\x80\x9cMust Be This #Conservative To Ride: The Inside Story of #Postmedia's Right Turn\xe2\x80\x9d. #cdnmedia #cdnpoli #elxn43 https://t.co/qbQym2Wq0x"""
positive,,"b""The son of Dr. Martin Luther King, just gave his endorsement for my PM @JustinTrudeau! \n\xf0\x9f\x98\x83\xe2\x9d\xa4\xef\xb8\x8f\n\nThank you, thank you Sir, it's very much appreciated up here north of the 49th parallel. We love you. \n\n#cdnpoli for the @liberal_party and #ChooseForward. #elxn43 https://t.co/09kDrfaoJ6"""
positive,,"b""The stakes are higher than ever before. Today I joined @votetimlouis in Kitchener Conestoga. He's the 73rd candidate I've helped this federal election. See the full list here: https://t.co/spOfK3cglf #elxn43 https://t.co/pPlfsIHDHZ"""
positive,,"b""The Sun is owned and operated by a multibillion dollar American hedge fund. It is an American paper. This all fits together quite well. It's not bonkers. It's what you'd expect. #cdnpoli #elxn43 #ChooseForward #KinsellaGate https://t.co/W6LZIFTK3q"""
negative,Others,"b""The term #OctoberSurprise is one used in #USA politics for a late campaign plot-twist that turns the tide from one side to the other. #WarrenKinsella may have supplied the Canadian version in #elxn43. #doubleagent. A # of #Tories won't be happy that #AndrewScheer used him."""
negative,Scandal,"b""The thing is, why are the media officially endorsing candidates at all? I mean, they've always tacitly supported their favourites, but...\n#elxn43 https://t.co/jKxD2xkEtQ"""
negative,Scandal,"b""The Toronto Sun does nothing without permission from it's extreme right, US owned, Trump affiliated #Postmedia bosses. Par for the course. Expressed mission to serve the Cons. Same as Postmedia using convicted criminal Conrad Black to rail against PMJT. #elxn43 #cdnmedia #cdnpoli https://t.co/cduJvGzEq3"""
negative,Others,"b'""There\'s a word down here we use to describe what Andrew  Scheer is saying. I wouldn\'t use it in polite company. But we spread it on the fields to grow potatoes."" -- #ChooseForward #Elxn43 #Elxn2019 https://t.co/cGwjYiJknO'"
positive,,"b""There's 2 days left in #Elxn43 - and @bfchangTO needs your help to knock on doors in this final stretch, and to #GetOutTheVote on Monday, election day! Support Brian at https://t.co/kbfM9zWprm #RepresentationMatters #CDNpoli @NDP https://t.co/QcwSR0dW6x"""
positive,,"b""There's 2 days left in #Elxn43, and @DavidCavey needs your support to knock on doors, and help #GetOutTheVote in #VancouverCentre on Monday, election day!  Lend a hand at https://t.co/usgFbD5kfy #CDNpoli #RepresentationMatters https://t.co/PUZ4KNDOxZ"""
positive,,"b""There's 2 days left in #Elxn43, and @votejesse2019 needs your help to knock on doors, and #GetOutTheVote on Monday, Election Day! Volunteer, help knock on doors https://t.co/ZfayeoAsVn #CDNpoli #RepresentationMatters https://t.co/hnxbF9axfz"""
positive,,"b""There's 2 days left in #Elxn43. Help @EricDuncanSDSG knock on doors in this final stretch and to #GetOutTheVote on election night, Monday in #StormontDundasSouthGlengarry! https://t.co/jXuqqXfnhM #Cdnpoli  #RepresentationMatters https://t.co/OI0ECPYxgD"""
positive,,"b""There's 2 days left in #Elxn43. Let's help re-elect @R_Boissonnault in #EdmontonCentre! Help knock on doors and volunteer to #GetOutTheVote on Monday, Election Day! https://t.co/gqd2Cq2I4L #LGBTQ #RepresentationMatters #CDNpoli https://t.co/9LC1HnBOWL"""
positive,,"b""There's 2 days left to campaign in #Elxn43! @sherirbenson needs your help to knock on doors and #GetOutTheVote in #SaskatoonWest. Help re-elect Sheri at https://t.co/4N8p1174ry #CDNpoli #LGBTQ #RepresentationMatters @NDP https://t.co/g1aOQqJNf8"""
negative,Others,"b""This campaign has been terrible. Here's a look ahead to the good things it could still lead to:\nhttps://t.co/oeop9vkA7I\n\n#elxn43 #cdnpoli #pharmacare #housing #climateaction https://t.co/reXrmspFMR"""
positive,,"b""This deserves thorough review, doesn't it @ElectionsCan_E  ? \n\n#CDNmedia #cdnpoli #elxn43 https://t.co/mIqSmEToe7"""
positive,,"b""This has turned into an anybody but Sheer election for me. Mostly because I don't want to have to keep track of my kids' activity receipts again. Seriously terrified of this possibility. #elxn43"""
negative,Scandal,"b""This is an old article but a very good one &amp; it is important to pay attention how Majed Jowhari infiltrate in #Canada's political system as an #Iran regime's agent in #Canada 's #Parliament via .@liberalparty. #cdnpoli #elxn43 #RichmondHill. Be alert @CdnPress .@CBCCanada .@CTV https://t.co/ZRwwIPnAau"""
negative,Scandal,"b""This is appalling. The most slimy politicking imaginable. @JustinTrudeau betrayed the Canadian people and denied them real democracy after promising it *1800* times. Now he won't even answer a question about it. Because he knows there's no decent answer. #cdnpoli #elxn43 #Vote4PR https://t.co/7D0Xtk4arb"""
negative,Others,"b""This is just not Kinsella's day. #elxn43 https://t.co/kPgGvBb0hU"""
negative,Scandal,"b""This is so much fun bring up #LyingAndy's past where he will not answer embarrassing questions. Here's the one where he was asked about hiring Hamish Marshall, former boss of the founder of the hate group Proud Boys #elxn43  #cdnpoli @AndrewScheer @CPC_HQ  https://t.co/q4RXd4XD0X"""
positive,,"b""This is Surrey's Fleetwood-Port Kells.\n\nDue to Liberal/NDP/Green vote splitting, it's now a tight race.\n\nLiberals polling 36%, Cons 32%.\n\nUnless people vote strategically, Conservatives could win Fleetwood.\n\n#votesplitting #cdnpoli #elxn43 #bcpoli #vanpoli #SurreyBC #UpRiSingh https://t.co/KMuTxxCpPV"""
positive,,"b""This is what I like to see!!! It's E-2 and the NDP have now surged into the lead in British Columbia! #Elxn43 #cdnpoli https://t.co/X2pcMITNJo"""
negative,Economy,"b""This is where #Trudeau allegiances lie..on the \n#globalstage....missing from photo is George Soros, \nFrank Guistra and UNCHR, President....\nIf not reelected, he will not have the money to further commit Cdn taxpayer's $$$ for his global partner's projects.\n#cdnpoli #elxn43 \ns https://t.co/bp3TqveCyz"""
negative,Scandal,"b""This Kinsella scandal involving @CPC_HQ seems a lot more rotten than we initially thought. @AndrewScheer stonewalling but it won't work. #elxn43 #elxn2019"""
negative,Scandal,"b""This was Manny's last tweet before the #KinsellaGate scandal story by @globeandmail. I hope he was sincere in all of his fierce criticism of @CPC_HQ opponents and not one of the #Kinsellouts. #elxn43 #cdnpoli https://t.co/M1OOnDTNjv"""
positive,,"b""Thread:  Trudeau didn't keep all of his promises but he still deserves to be re-elected because he made life better for ALL Canadians.  P.S. He did keep over 90% of his promises...which is really good. #ChooseForward #teamTrudeau #cdnpoli #elxn43 https://t.co/k4WMy5V1kY"""
negative,Others,"b""Today Trudeau cited Perry Bellegarde's support at a rally ... somehow I don't think he has actually endorsed Trudeau #elxn43 https://t.co/NC94lKJUTO"""
negative,Scandal,"b""Translation: Scheer hired Kinsella firm to 'seek and destroy' the #PPC (and likely Trudeau as well). \n\n#elxn43 #KinsellaGate #StopScheer https://t.co/Vg1VRddcds"""
positive,,"b""Trudeau is indeed ready for more #ClimateAction \nChoose wisely kids.\nCons or Liberals will form government. \nThat's math.\n\xf0\x9f\x94\xb5     \xf0\x9f\x94\xb4\n#ScheerDisaster or Trudeau.\n#ChooseForward \n#elxn2019 \n#elxn43 \n#cdnpoli https://t.co/wfkIbl5asu https://t.co/6uUx9Gh5h7"""
negative,Others,"b""TRUTH my Liberal friends need to reflect on...\nLiberals under Trudeau don't deserve to run Canada. \n#elxn43 #cdnpoli #polqc #OttawaSouth #OttawaCentre https://t.co/0YW8gP9ZZH"""
negative,Others,"b""Uhm...the Greens hired Kinsella. Let's not even get into #blackface and the #SNCLavalinScandal, and more. If ppl want a big enough smear to deter ppl from supporting the #CPC,  they're gonna have to do a helluva lot better than this bullshit.\n#elxn43 #cdnpoli https://t.co/pfXFcZdK1t"""
negative,Others,"b""Umm, hello @RebelNewsOnline, @ezralevant, @SheilaGunnReid, @TheRealKeean, @TheMenzoid?\n\n#KinsellaGate breaking &amp; crickets!?\n\nWhat's one to think?\n\n#cdnpoli #canpoli #elxn43 #cdnmedia"""
negative,Tell lies,"b'""various studies"" lol.\n\n#Blackface Trudeau and his feckless #Lavscam Liberals did nothing in four years. The evidence for that is all the new promises they made in #elxn43, all things that could have been done during this past four years. #cdnpoli https://t.co/NWnebJ0aHw'"
negative,Separation,"b'""Vote for us or we may actively work to break up your country"" isn\'t a good look for Canadian conservatives. #elxn43 #cdnpoli https://t.co/GhAmyntvGL'"
negative,Scandal,"b""Wait.. So Bernier says a political comms guy being hired for political comms work is an attack on our democracy? We've officially found the most idiotic take in Canada *+#cdnpoli #elxn43 #MaximeFamilyCult"""
negative,Others,"b""Warren Kinsella consulting firm worked to 'seek and destroy' Bernier's PPC party, documents say | CBC News https://t.co/x2t2ojC04v.   #cdnpoli #elxn43 #CanadaVotes"""
negative,Scandal,"b""Watch @AndrewScheer wink as he responds to reporters question about whether he hired @kinsellawarren to do @CPC_HQ's dirty work.\n\n#cdnpoli #elxn43 https://t.co/m3Tu8SVdsm"""
positive,,"b""Watch @CBCPolitics's broadcast: PPC leader Maxime Bernier responds to 'seek and destroy' campaign #elxn43 #cdnpoli \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/68EismLi9z"""
positive,,"b""Watching Scheer stumble in the last two days of the campaign has been such a pleasure to watch. I have hope that we'll get a second majority \xe2\x9d\xa4\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\n#ChooseForward \n#elxn43 \n#ItsOurVote \n#cdnpoli \n#cdnelxn2019"""
negative,Tell lies,"b""We also won't tell you about the cuts we may or may not make!! And we won't confirm the lies we may or may not tell!!\xf0\x9f\x98\xb3 #elxn43 https://t.co/DKbHEQgvLp"""
positive,,"b""We are very lucky to have such great partners like the @HeightsRothwell and @BHCA_CA as partners in East-Ottawa. Makes hosting events like the Federal Debate possible. Don't forget everyone #Vote this Monday. #elxn43 #cdnelxn2019 https://t.co/j7lvNTGBuA"""
positive,,"b""We go to the polls on Monday for #Elxn43, Get to know the candidates from #Kelowna - Lake Country in our election forum from 2-4pm this afternoon. \n\nCan't listen in? Find all their information online\n\nhttps://t.co/Jkzc7rnWbs https://t.co/8Vp5GeeS7S"""
